rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,C#CC1CCN(C(=O)c2ccc3cc4ccccc4cc3c2)CC1,-9.000,,,
2,C[C@H]1CC(=O)CCN1C(=O)c1ccc2cc3ccccc3cc2c1,-8.700,,,
3,CC[C@@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,-8.400,,,
4,CC(C)[C@H]1CN(C(=O)c2ccc3cc4ccccc4cc3c2)CCO1,-8.300,,,
5,CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,-8.300,,,
6,CC(C)[C@@H]1CN(C(=O)c2ccc3cc4ccccc4cc3c2)CCO1,-8.200,,,
7,C[C@@H]1CN(C(=O)c2ccc3cc4ccccc4cc3c2)CCO1,-8.200,,,
8,CC1CN(C(=O)c2ccc3cc4ccccc4cc3c2)CCO1,-8.200,,,
9,CC(C)C1CN(C(=O)c2ccc3cc4ccccc4cc3c2)CCO1,-8.100,,,
10,O=C(Nc1cccc2ccccc12)c1ccccn1,-7.900,,,
11,CC(C)[C@H]1CN(C(=O)c2ccc3ccccc3c2)CCO1,-7.900,,,
12,CC(C)[C@@H]1CN(C(=O)c2ccc3c(ccc4ccccc43)c2)CCO1,-7.900,,,
13,CC(C)C1CN(C(=O)c2ccc3c(ccc4ccccc43)c2)CCO1,-7.900,,,
14,CC[C@H]1CN(C(=O)c2ccc3cc4ccccc4cc3c2)CCO1,-7.900,,,
15,CCC1CN(C(=O)c2ccc3cc4ccccc4cc3c2)CCO1,-7.800,,,
16,Cc1cc(OCCCCc2ccncc2)cc(C)c1NC(=O)c1ccccn1,-7.700,,,
17,Cc1cc(OCCCc2ccccc2)cc(C)c1NC(=O)c1ccccn1,-7.700,,,
18,O=C(Nc1ccccc1NC(=O)c1ccccn1)c1ccccn1,-7.700,,,
19,C[C@H]1CN(C(=O)c2ccc3cc4ccccc4cc3c2)CCO1,-7.700,,,
20,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,-7.700,,,
21,Cc1cc(OCc2ccncc2)cc(C)c1NC(=O)c1ccccn1,-7.600,,,
22,O=C(O)c1ccc2cc3ccccc3cc2c1,-7.600,,,
23,CC[C@@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,-7.600,,,
24,CC(C)C1CN(C(=O)c2ccc3ccccc3c2)CCO1,-7.500,,,
25,CC(=O)c1ccc2cc3ccccc3cc2c1,-7.500,,,
26,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,-7.500,,,
27,CC(=O)Nc1c(C)cc(OCCCCc2ccccc2)cc1C,-7.400,,,
28,CC(C)[C@@H]1CN(C(=O)c2ccc3ccccc3c2)CCO1,-7.400,,,
29,CC(C)[C@H]1CN(C(=O)c2ccc3cc(Br)ccc3c2)CCO1,-7.300,,,
30,O=C(c1ccc2cc[nH]c2c1)N1CCNCC1,-7.200,,,
