rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,O=C(Nc1cnc2ccc(Cl)nn12)c1ccc2[nH]c(-c3ccc(F)cc3)nc2c1,-9.500,,,
2,O=C(Nc1cc(Cl)nc2ccnn12)c1ccc2[nH]c(-c3ccc(F)cc3)nc2c1,-9.500,,,
3,Cc1ccc(O)c(NC(=O)c2ccc3[nH]c(-c4ccc(F)cc4)nc3c2)n1,-9.400,,,
4,O=C(Nc1cn2nc(Cl)ccc2n1)c1ccc2[nH]c(-c3ccc(F)cc3)nc2c1,-9.300,,,
5,O=C(Nc1nnc2ccc(Cl)nn12)c1ccc2[nH]c(-c3ccccc3)nc2c1,-9.300,,,
6,O=C(Nc1cnc2ccccn12)c1ccc2[nH]c(-c3ccc(F)cc3)nc2c1,-9.200,,,
7,C[C@H](NC(=O)c1ccc2[nH]c(-c3ccc(F)cc3)nc2c1)c1ccccn1,-9.200,,,
8,Cc1ccnc(C)c1NC(=O)c1ccc2[nH]c(-c3ccc(F)cc3)nc2c1,-9.000,,,
9,O=C(NCc1ncccn1)c1ccc2[nH]c(-c3ccc(F)cc3)nc2c1,-9.000,,,
10,O=C(Nc1cc(Cl)nc2ccnn12)c1ccc2[nH]c(-c3ccccn3)nc2c1,-9.000,,,
11,C#CC1CCN(C(=O)c2ccc3[nH]c(-c4ccccn4)nc3c2)CC1,-9.000,,,
12,O=C(Nc1cnc2ccc(Cl)nn12)c1ccc2[nH]c(-c3ccccn3)nc2c1,-8.900,,,
13,CC(=O)c1cnc(NC(=O)c2ccc3[nH]c(-c4ccc(F)cc4)nc3c2)s1,-8.900,,,
14,O=C(Nc1cc(O)cc(O)c1)c1ccc2[nH]c(-c3ccc(F)cc3)nc2c1,-8.900,,,
15,C[C@H]1CC(=O)CCN1C(=O)c1ccc2[nH]c(-c3ccc(F)cc3)nc2c1,-8.900,,,
16,O=C(Nc1nnc2ccc(Cl)nn12)c1ccc2[nH]c(-c3ccccn3)nc2c1,-8.900,,,
17,Cc1ccc(CNC(=O)c2ccc3[nH]c(-c4ccc(F)cc4)nc3c2)s1,-8.800,,,
18,O=C(Nc1cnc2ccc(F)cn12)c1ccc2[nH]c(-c3ccccn3)nc2c1,-8.800,,,
19,NC(=O)c1cnsc1NC(=O)c1ccc2[nH]c(-c3ccccn3)nc2c1,-8.800,,,
20,Cc1nc2cc(C(=O)Nc3cnc4ccc(Cl)nn34)ccc2n1-c1ccccc1,-8.700,,,
