smiles,combo_reward,acid_reward,amine_reward,novel,makeable,price_usd,acid,amine
CNC(=O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,17.74,9.2,8.54,False,True,125,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,CN
O=C(Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1)Nc1ccc(CO)cc1,17.6,9.2,8.4,True,False,,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,Nc1ccc(CO)cc1
CNC(=O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,17.54,9.0,8.54,True,True,125,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,CN
O=Cc1cnc(NC(=O)Cc2ccccc2NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,17.4,9.2,8.2,True,False,,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,Nc1ncc(C=O)s1
O=C(Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1)Nc1ccc(CO)cc1,17.4,9.0,8.4,True,False,,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,Nc1ccc(CO)cc1
O=C(Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1)NCc1ncccn1,17.3,9.2,8.1,True,False,,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)Cc2ccccc2NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,17.3,9.2,8.1,True,False,,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,COC(=O)c1cnc(N)s1
NC(=O)Cc1ccc(NC(=O)c2ccc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)cc2)cc1,17.3,8.7,8.6,True,False,,O=C(O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,NC(=O)Cc1ccc(N)cc1
CN(C)C(=O)Cc1ccc(NC(=O)c2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)cc1,17.3,8.5,8.8,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,CN(C)C(=O)Cc1ccc(N)cc1
CNC(=O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,17.24,8.7,8.54,True,True,125,O=C(O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,CN
O=Cc1cnc(NC(=O)Cc2ccc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)cc2)s1,17.2,9.0,8.2,True,False,,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,Nc1ncc(C=O)s1
CN(C)C(=O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,17.17,8.37,8.8,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CN(C)C(=O)Cc1ccc(N)cc1
CNC(=O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,17.14,8.6,8.54,True,True,125,O=C(O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,CN
O=C(Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1)NCc1ncccn1,17.1,9.0,8.1,True,False,,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,NCc1ncccn1
