rank,dock_score_5jq7,smiles,novel,acid,amine,combo_reward
1,-8.90,CNC(=O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,True,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,CN,17.54
2,-8.80,CC(=O)c1csc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)n1,True,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CC(=O)c1csc(N)n1,16.87
3,-8.80,CN(C)C(=O)Cc1ccc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)cc1,True,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CN(C)C(=O)Cc1ccc(N)cc1,16.85
4,-8.70,CNC(=O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,False,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,CN,17.74
5,-8.70,CNC(=O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,True,O=C(O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,CN,17.14
6,-8.60,CNC(=O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,True,O=C(O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,CN,17.24
7,-8.60,CN(C)C(=O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,True,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CN(C)C(=O)Cc1ccc(N)cc1,17.17
8,-8.60,CCc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,True,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CCc1ccc(N)cc1,16.97
9,-8.60,CCOC(=O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,True,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CCOC(=O)Cc1ccc(N)cc1,16.87
10,-8.60,Cc1cnc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)s1,True,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,Cc1cnc(N)s1,16.55
11,-8.50,CNC(=O)c1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,True,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,CN,17.04
12,-8.50,CNC(=O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,True,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,CN,16.84
13,-8.50,O=C(Nc1ccc(CO)cc1)c1cccc(C(=O)c2ccccc2)c1,True,O=C(O)c1cccc(C(=O)c2ccccc2)c1,Nc1ccc(CO)cc1,16.77
14,-8.50,CN(C)C(=O)Cc1ccc(NC(=O)C2CCCN(Cc3ccccc3)C2)cc1,True,O=C(O)C1CCCN(Cc2ccccc2)C1,CN(C)C(=O)Cc1ccc(N)cc1,16.15
15,-8.40,CNC(=O)COc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,True,O=C(O)COc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,CN,16.94
16,-8.40,CCc1ccc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)cc1,True,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CCc1ccc(N)cc1,16.65
