rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,Cc1cccc(-c2cccc(C(=O)N3CCN(c4cccc(C#N)c4)CC3)c2)c1,-9.600,,,
2,O=C1CCC(N2C(=O)c3ccc(C(=O)NCc4cccc(OC(F)(F)F)c4)cc3C2=O)C(=O)N1,-9.500,,,
3,O=C(NC1COc2ccc(Cl)cc21)c1ccc2nc(-c3ccc(F)cc3)cn2c1,-9.500,,,
4,CC1(C)CC(=O)Nc2nc(NC(=S)N3CCc4ccc(F)cc4C3)ccc21,-8.900,,,
5,O=C(NCc1ccc(Cl)c(Cl)n1)c1cnn(-c2cccc(C(F)(F)F)c2)c1,-8.900,,,
6,Cc1cc(C)c2ccc(NC(=S)N3CCC(C4C(=O)Nc5ccccc54)CC3)nc2n1,-8.900,,,
7,CS(=O)(=O)c1cccc(C(=O)Nc2nc(-c3ccc(F)c(F)c3)cs2)n1,-8.800,,,
8,COc1cc(OC)c(F)c(NC(=O)c2cccc(-c3cc(F)cc(F)c3)n2)c1F,-8.800,,,
9,C[C@@H](NC(=O)N1CCn2c(nnc2C(F)(F)F)C1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-8.800,,,
10,CN1CCN(Cc2ccc(CNC(=S)N3CCCC3c3ccc4c(c3)OCCO4)cc2)CC1,-8.700,,,
11,Cc1cccc(CC(=O)N2CCC(Oc3ccc(C(N)=O)cc3)CC2)c1,-8.700,,,
12,C[C@H](NC(=O)c1cnn(-c2ccc(C(F)(F)F)cc2)c1)c1cc(Cl)ccc1O,-8.700,,,
13,COc1ccc2c(CC(=O)Nc3cc(-c4cccc(Cl)c4)no3)coc2c1,-8.700,,,
14,O=C(c1cnc2c(Cl)cccc2c1)N1CCSC1c1ccccc1,-8.700,,,
15,O=C(NCc1ccc(F)c(C(F)(F)F)c1)c1ncc(Br)cc1C(F)(F)F,-8.700,,,
16,CC(=O)c1ccc(Nc2nnc(Cc3cccc(C)c3)s2)c(F)c1F,-8.700,,,
