rank,score,mmgbsa,posebusters_valid,run,smiles
1,-9.200,,True,glycoprotein_t0r_100,CNC(=O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1
2,-9.100,,,glycoprotein_screen2,Cc1ccc(C)c(-c2cc(C(=O)O)c3cc(C)ccc3n2)c1
3,-9.100,,,glycoprotein_screen2,CC(C)Oc1cccc(-c2cc(C(=O)O)c3cc(n4ccc(F)n4)ccc3n2)c1
4,-9.100,,,glycoprotein_screen2,Cc1ccnc(C)c1NC(=O)c1cc(-c2cccnc2)nc2ccccc12
5,-9.000,,,glycoprotein_muni,C#CC1CCN(C(=O)c2ccc3cc4ccccc4cc3c2)CC1
6,-9.000,,,glycoprotein_screen2,Cc1ccnc(C)c1Nc1ccc2nc(-c3cccnc3)cc(C(=O)O)c2c1
7,-9.000,,,glycoprotein_screen2,C#CC1CCN(C(=O)c2nc(-c3ccccc3)nc3ccccc23)CC1
8,-9.000,,,glycoprotein_screen2,Oc1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)c(O)c1
9,-8.900,,,glycoprotein_screen2,CC(C)Oc1cccc(-c2cc(C(=O)O)c3cc(n4cc([N+](=O)[O-])nn4)ccc3n2)c1
10,-8.800,,,glycoprotein_screen2,C[C@H](NC(=O)c1nc(-c2ccccc2)nc2ccccc12)c1ccccn1
